                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11975,                0.20273,                 0.0752,               0.057848,              0.0024486,               0.069259,              0.0014161,             0.00048241,             0.00024424,              0.0013514,             9.2578e-05,             3.3475e-05,                0.11306,                0.12692,               0.059725,               0.056325,                 0.0919,                 0.0009,                 0.0009
                      1,                0.11229,                0.12907,               0.069221,                0.05488,               0.004885,                0.20372,              0.0037957,              0.0011971,             0.00031853,               0.025187,             0.00018662,             4.3997e-05,                0.10152,               0.095068,                0.05768,               0.052128,               0.082899,              0.0018991,              0.0018991
                      2,                0.10106,                0.10039,               0.071721,               0.051895,              0.0066205,                0.27213,               0.013922,              0.0046351,             0.00050469,               0.029364,             0.00030857,              9.295e-05,               0.092264,                0.08919,                0.06208,               0.048963,               0.073897,              0.0028972,              0.0028972
                      3,               0.090282,               0.088315,               0.080387,               0.047444,                 0.8475,               0.024519,               0.024864,               0.009122,              0.0018719,               0.084304,              0.0028919,              0.0007568,               0.092163,               0.081405,               0.063517,               0.043902,               0.064894,              0.0038943,              0.0038943
                      4,               0.083473,                0.08021,               0.079468,               0.043071,                0.24839,               0.076371,               0.039855,               0.011674,                0.24408,               0.048649,               0.028155,              0.0084669,               0.091479,               0.074921,               0.067228,               0.039701,               0.055891,              0.0048905,              0.0048905
                      5,               0.080292,               0.071355,               0.084441,                0.03881,                0.22973,               0.096086,                0.02045,              0.0051207,                0.23163,               0.095946,               0.026676,              0.0084407,               0.089207,               0.079423,               0.074961,               0.036212,               0.046886,              0.0058857,              0.0058857
                      6,               0.079516,               0.069028,               0.082063,               0.036527,                0.46724,                0.10301,                0.03754,               0.012696,                0.64943,               0.059459,               0.037254,               0.011384,               0.085421,               0.063746,                0.07235,               0.033688,                0.03788,                0.00688,                0.00688
                      7,               0.077657,               0.066443,               0.078342,               0.034541,                0.66472,                0.12254,               0.055346,               0.015817,                0.64593,               0.095075,               0.049616,               0.015821,               0.082224,               0.062588,                0.07602,               0.031586,               0.028873,              0.0078733,              0.0078733
                      8,               0.075566,               0.062074,               0.078206,               0.031808,               0.057938,                0.27313,               0.061607,               0.018774,                0.67077,                    0.1,               0.075267,               0.031611,               0.088111,               0.061148,               0.068791,               0.030024,               0.019866,              0.0088656,              0.0088656
                      9,               0.077574,               0.062156,               0.077432,               0.031218,               0.093568,                0.26968,                0.10551,               0.034964,                0.67625,                0.11486,                0.09939,               0.036317,               0.082638,               0.060849,                0.07073,               0.026579,               0.010857,              0.0098569,              0.0098569
